task_id,-1,0.0,0.1,0.3,0.5,0.7,0.9
16,False,False,False,True,,,
225,False,False,False,True,,,
248,False,False,False,False,True,,
299,False,False,False,False,True,,
301,False,False,False,True,,,
327,False,False,False,True,,,
345,False,False,False,False,True,,
351,False,False,False,False,True,,
393,False,False,False,False,False,True,
395,False,False,True,,,,
422,False,False,False,True,,,
427,False,False,False,True,,,
450,False,False,True,,,,
466,False,False,False,False,False,False,True
497,False,False,False,False,True,,
