task_id,-1,0.0,0.1,0.3,0.5,0.7,0.9
16,False,False,True,,,,
20,False,False,False,True,,,
51,False,False,False,False,False,False,True
73,False,False,False,False,False,False,True
78,False,False,False,True,,,
145,False,False,False,True,,,
181,False,False,False,False,False,False,True
183,False,False,False,False,False,True,
209,False,False,False,False,False,False,True
232,False,False,True,,,,
244,False,False,False,False,False,False,True
248,False,False,False,False,True,,
252,False,False,False,False,True,,
292,False,False,False,False,True,,
301,False,False,False,True,,,
316,False,False,False,True,,,
320,False,False,False,False,False,True,
327,False,False,False,True,,,
330,False,False,True,,,,
337,False,False,False,False,True,,
344,False,False,False,False,False,False,True
345,False,False,False,True,,,
351,False,False,True,,,,
388,False,False,False,True,,,
403,False,False,False,False,False,False,True
422,False,False,False,True,,,
433,False,False,False,False,True,,
450,False,False,True,,,,
452,False,False,False,False,False,True,
475,False,False,False,False,True,,
488,False,False,False,False,False,False,True
497,False,False,False,False,False,True,
509,False,False,False,False,True,,
