task_id,-1,0.0,0.1,0.3,0.5,0.7,0.9
51,False,False,False,False,False,False,True
73,False,False,False,False,False,False,True
145,False,False,False,True,,,
209,False,False,False,False,False,False,True
248,False,False,False,False,True,,
252,False,False,False,False,True,,
301,False,False,False,True,,,
316,False,False,False,True,,,
337,False,False,False,False,True,,
345,False,False,False,True,,,
388,False,False,False,True,,,
422,False,False,False,True,,,
450,False,False,True,,,,
475,False,False,False,False,True,,
497,False,False,False,False,False,True,
509,False,False,False,False,True,,
