task_id,-1,0.0,0.1,0.3,0.5,0.7,0.9
16,False,False,False,True,,,
20,False,False,False,False,False,False,True
51,False,False,False,False,True,,
89,False,False,False,True,,,
145,False,False,True,,,,
181,False,False,False,False,False,True,
183,False,False,False,True,,,
199,False,False,False,True,,,
209,False,False,False,True,,,
211,False,False,False,False,True,,
244,False,False,True,,,,
248,False,False,False,False,True,,
292,False,False,False,False,True,,
327,False,False,True,,,,
330,False,False,False,False,False,False,True
345,False,False,False,True,,,
403,False,False,False,False,True,,
422,False,False,False,False,True,,
433,False,False,False,False,False,True,
