task_id,-1,0.0,0.1,0.3,0.5,0.7,0.9
20,False,False,False,False,True,,
33,False,False,False,False,False,True,
34,False,False,False,False,True,False,False
45,False,False,False,False,True,,
51,False,False,False,False,True,,
61,False,False,False,False,False,True,
78,False,False,False,False,False,False,True
89,False,False,True,,,,
121,False,False,False,False,False,False,True
144,False,False,False,False,False,False,True
145,False,False,True,,,,
156,False,False,False,False,False,True,
167,False,False,False,False,True,,
181,False,False,False,True,,,
183,False,False,True,,,,
199,False,False,False,False,False,True,
209,False,False,False,False,False,False,True
225,False,False,False,False,True,,
244,False,False,False,True,,,
248,False,False,False,False,True,True,
252,False,False,False,False,True,,
294,False,False,False,False,True,,
301,False,False,False,True,,,
302,False,False,False,False,True,,
316,False,False,True,,,,
320,False,False,,False,False,False,True
324,False,False,False,False,False,False,True
327,False,False,False,False,True,,
328,False,False,False,False,False,True,
330,False,False,False,False,True,,
331,False,False,False,True,,,
337,False,False,,True,,,
345,False,False,False,False,True,,
350,False,False,False,True,,,
351,False,False,False,False,True,,
363,False,False,False,False,False,False,True
382,False,False,False,False,True,,
388,False,False,False,True,,,
393,False,False,False,False,False,True,
395,False,False,True,,,,
398,False,False,False,False,True,,
403,False,False,False,False,True,,
407,False,False,False,False,False,False,True
414,False,False,False,False,True,,
422,False,False,False,True,,,
427,False,False,False,False,False,True,True
433,False,False,False,False,True,,
452,False,False,True,,,,
463,False,False,False,False,False,True,
466,False,False,False,False,False,True,
509,False,False,False,True,,,
